name,state_id
Nandurbar,13
Dhule,13
Jalgaon,13
Raver,13
Buldhana,13
Akola,13
Amravati,13
Wardha,13
Ramtek,13
Nagpur,13
Bhandara - gondiya,13
Gadchiroli-Chimur,13
Chandrapur,13
Yavatmal-Washim,13
Hingoli,13
Nanded,13
Parbhani,13
Jalna,13
Aurangabad,13
Dindori,13
Nashik,13
Palghar,13
Bhiwandi,13
Kalyan,13
Thane,13
Mumbai North,13
Mumbai North West,13
Mumbai North East,13
Mumbai North central,13
Mumbai South central,13
Mumbai South,13
Raigad,13
Maval,13
Pune,13
Baramati,13
Shirur,13
Ahmadnagar,13
Shirdi,13
Beed,13
Osmanabad,13
Latur,13
Solapur,13
Madha,13
Sangli,13
Satara,13
Ratnagiri - sindhudurg,13
Kolhapur,13
Hatkanangle,13
