name,state_id
Thiruvallur,22
Chennai North,22
Chennai South,22
Chennai central,22
Sriperumbudur,22
Kancheepuram,22
Arakkonam,22
Vellore,22
Krishnagiri,22
Dharmapuri,22
Tiruvannamalai,22
Arani,22
Viluppuram,22
Kallakurichi,22
Salem,22
Namakkal,22
Erode,22
Tiruppur,22
Nilgiris,22
Coimbatore,22
Pollachi,22
Dindigul,22
Karur,22
Tiruchirappalli,22
Perambalur,22
Cuddalore,22
Chidambaram,22
Mayiladuthurai,22
Nagapattinam,22
Thanjavur,22
Sivaganga,22
Madurai,22
Theni,22
Virudhunagar,22
Ramanathapuram,22
Thoothukkudi,22
Tenkasi,22
Tirunelveli,22
Kanniyakumari,22
