name,state_id
Saharanpur,24
Kairana,24
Muzaffarnagar,24
Bijnor,24
Nagina,24
Moradabad,24
Rampur,24
Sambhal,24
Amroha,24
Meerut,24
Baghpat,24
Ghaziabad,24
Gautam Buddha Nagar,24
Bulandshahr,24
Aligarh,24
Hathras,24
Mathura,24
Agra,24
Fatehpur Sikri,24
Firozabad,24
Mainpuri,24
Etah,24
Badaun,24
Aonla,24
Bareilly,24
Pilibhit,24
Shahjahanpur,24
Kheri,24
Dhaurahra,24
Sitapur,24
Hardoi,24
Misrikh,24
Unnao,24
Mohanlalganj,24
Lucknow,24
Rae Bareli,24
Amethi,24
Sultanpur,24
Pratapgarh,24
Farrukhabad,24
Etawah,24
Kannauj,24
Kanpur,24
Akbarpur,24
Jalaun,24
Jhansi,24
Hamirpur,24
Banda,24
Fatehpur,24
Kaushambi,24
Phulpur,24
Allahabad,24
Barabanki,24
Faizabad,24
Ambedkar Nagar,24
Bahraich,24
Kaiserganj,24
Shrawasti,24
Gonda,24
Domariyaganj,24
Basti,24
Sant Kabir Nagar,24
Maharajganj,24
Gorakhpur,24
Kushi Nagar,24
Deoria,24
Bansgaon,24
Lalganj,24
Azamgarh,24
Ghosi,24
Salempur,24
Ballia,24
Jaunpur,24
Machhlishahr,24
Ghazipur,24
Chandauli,24
Varanasi,24
Bhadohi,24
Mirzapur,24
Robertsganj,24
