name,state_id
Cooch behar,25
Alipurduars,25
Jalpaiguri,25
Darjeeling,25
Raiganj,25
Balurghat,25
Maldaha Uttar,25
Maldaha Dakshin,25
Jangipur,25
Baharampur,25
Murshidabad,25
Krishnanagar,25
Ranaghat,25
Bangaon,25
Barrackpore,25
Dum dum,25
Barasat,25
Basirhat,25
Joynagar,25
Mathurapur,25
Diamond harbour,25
Jadavpur,25
Kolkata Dakshin,25
Kolkata Uttar,25
Howrah,25
Uluberia,25
Srerampur,25
Hooghly,25
Arambagh,25
Tamluk,25
Kanthi,25
Ghatal,25
Jhargram,25
Medinipur,25
Purulia,25
Bankura,25
Bishnupur,25
Bardhaman Purba,25
Burdwan - durgapur,25
Asansol,25
Bolpur,25
Birbhum,25
